course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,days_published
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5,18/1/2017,Business Finance,1199
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,TRUE,75,2792,923,274,All Levels,39,9/3/2017,Business Finance,1149
1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,TRUE,45,2174,74,51,Intermediate Level,2.5,19/12/2016,Business Finance,1229
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,TRUE,95,2451,11,36,All Levels,3,30/5/2017,Business Finance,1067
1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,TRUE,200,1276,45,26,Intermediate Level,2,13/12/2016,Business Finance,1235
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,TRUE,150,9221,138,25,All Levels,3,2/5/2014,Business Finance,2191
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,TRUE,65,1540,178,26,Beginner Level,1,21/2/2016,Business Finance,1531
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,TRUE,95,2917,148,23,All Levels,2.5,30/1/2015,Business Finance,1918
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,TRUE,195,5172,34,38,Expert Level,2.5,28/5/2015,Business Finance,1800
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,TRUE,200,827,14,15,All Levels,1,18/4/2017,Business Finance,1109
592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,TRUE,200,4284,93,76,All Levels,5,11/9/2015,Business Finance,1694
975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,TRUE,200,1380,42,17,All Levels,1,18/10/2016,Business Finance,1291
742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,TRUE,30,3607,21,19,All Levels,1.5,3/2/2016,Business Finance,1549
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,TRUE,195,4061,52,16,All Levels,2,16/3/2016,Business Finance,1507
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,TRUE,200,294,19,42,All Levels,7,28/4/2017,Business Finance,1099
504036,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,TRUE,75,2276,106,19,Intermediate Level,1.5,22/6/2015,Business Finance,1775
719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,TRUE,20,4919,79,16,Beginner Level,1.5,8/1/2016,Business Finance,1575
564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,TRUE,200,2666,115,52,All Levels,4,10/8/2015,Business Finance,1726
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,TRUE,50,5354,24,23,All Levels,1.5,21/9/2015,Business Finance,1684
58977,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,TRUE,95,8095,249,12,Beginner Level,0.583333333,9/6/2013,Business Finance,2518
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,TRUE,200,809,3,25,All Levels,2,6/6/2017,Business Finance,1060
798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,TRUE,200,2295,84,39,All Levels,4,2/5/2016,Business Finance,1460
506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,TRUE,75,10149,83,16,All Levels,2,26/5/2015,Business Finance,1802
1020760,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,TRUE,50,1916,38,23,Beginner Level,1,5/12/2016,Business Finance,1243
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,TRUE,45,2507,333,40,All Levels,2,30/5/2016,Business Finance,1432
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,TRUE,150,5786,518,50,All Levels,5,31/1/2015,Business Finance,1917
353044,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,TRUE,200,5334,373,42,All Levels,4.5,28/11/2014,Business Finance,1981
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,TRUE,175,4005,237,25,Intermediate Level,2,12/4/2015,Business Finance,1846
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,TRUE,150,2877,103,81,All Levels,4.5,26/4/2016,Business Finance,1466
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,TRUE,140,1026,25,37,Beginner Level,3,27/6/2017,Business Finance,1039
1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,TRUE,95,1165,21,41,Beginner Level,2.5,28/5/2017,Business Finance,1069
948974,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,TRUE,200,1843,171,35,All Levels,1.5,4/10/2016,Business Finance,1305
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,TRUE,45,8797,449,80,All Levels,6.5,9/1/2015,Business Finance,1939
1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,TRUE,200,1030,11,22,All Levels,2,1/6/2017,Business Finance,1065
1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,TRUE,200,1041,12,28,All Levels,1.5,11/6/2017,Business Finance,1055
434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,TRUE,195,7884,118,68,Intermediate Level,10,19/5/2015,Business Finance,1809
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,TRUE,195,16900,2476,52,Beginner Level,5.5,12/12/2014,Business Finance,1967
888716,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,TRUE,200,11441,1118,61,All Levels,4.5,28/6/2016,Business Finance,1403
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,TRUE,195,22257,2697,138,All Levels,7.5,25/11/2014,Business Finance,1984
965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,TRUE,195,8575,809,110,All Levels,5.5,10/10/2016,Business Finance,1299
